*  HI bound-bound recombination spectrum.
* 
*   Frequency       Delta I_nu 
*     [GHz]      [J m^-2 s^-1 Hz^-1 sr^-1] 
     0.557859  1.44043e-28
     0.559056  1.44154e-28
     0.560256  1.44269e-28
     0.561458  1.44387e-28
     0.562662  1.44510e-28
     0.563870  1.44641e-28
     0.565080  1.44778e-28
     0.566292  1.44923e-28
     0.567507  1.45076e-28
     0.568725  1.45236e-28
     0.569945  1.45407e-28
     0.571168  1.45587e-28
     0.572393  1.45776e-28
     0.573622  1.45976e-28
     0.574852  1.46187e-28
     0.576086  1.46407e-28
     0.577322  1.46637e-28
     0.578560  1.46878e-28
     0.579802  1.47129e-28
     0.581046  1.47390e-28
     0.582292  1.47658e-28
     0.583542  1.47936e-28
     0.584794  1.48224e-28
     0.586049  1.48517e-28
     0.587306  1.48816e-28
     0.588566  1.49122e-28
     0.589829  1.49432e-28
     0.591095  1.49745e-28
     0.592363  1.50061e-28
     0.593634  1.50378e-28
     0.594908  1.50697e-28
     0.596184  1.51016e-28
     0.597463  1.51334e-28
     0.598745  1.51648e-28
     0.600030  1.51962e-28
     0.601317  1.52273e-28
     0.602607  1.52578e-28
     0.603900  1.52880e-28
     0.605196  1.53178e-28
     0.606495  1.53468e-28
     0.607796  1.53755e-28
     0.609100  1.54036e-28
     0.610407  1.54308e-28
     0.611717  1.54577e-28
     0.613029  1.54839e-28
     0.614344  1.55094e-28
     0.615663  1.55342e-28
     0.616984  1.55584e-28
     0.618307  1.55819e-28
     0.619634  1.56047e-28
     0.620964  1.56268e-28
     0.622296  1.56483e-28
     0.623631  1.56691e-28
     0.624969  1.56893e-28
     0.626310  1.57089e-28
     0.627654  1.57278e-28
     0.629001  1.57460e-28
     0.630350  1.57635e-28
     0.631703  1.57803e-28
     0.633058  1.57966e-28
     0.634416  1.58123e-28
     0.635778  1.58273e-28
     0.637142  1.58415e-28
     0.638509  1.58551e-28
     0.639879  1.58684e-28
     0.641252  1.58810e-28
     0.642627  1.58931e-28
     0.644006  1.59047e-28
     0.645388  1.59160e-28
     0.646773  1.59267e-28
     0.648161  1.59371e-28
     0.649551  1.59472e-28
     0.650945  1.59571e-28
     0.652342  1.59668e-28
     0.653741  1.59764e-28
     0.655144  1.59861e-28
     0.656550  1.59957e-28
     0.657958  1.60056e-28
     0.659370  1.60159e-28
     0.660785  1.60264e-28
     0.662203  1.60374e-28
     0.663623  1.60491e-28
     0.665047  1.60614e-28
     0.666474  1.60744e-28
     0.667904  1.60886e-28
     0.669337  1.61036e-28
     0.670773  1.61196e-28
     0.672213  1.61369e-28
     0.673655  1.61554e-28
     0.675100  1.61752e-28
     0.676549  1.61962e-28
     0.678001  1.62185e-28
     0.679455  1.62425e-28
     0.680913  1.62678e-28
     0.682374  1.62942e-28
     0.683838  1.63222e-28
     0.685305  1.63515e-28
     0.686776  1.63821e-28
     0.688249  1.64140e-28
     0.689726  1.64471e-28
     0.691206  1.64812e-28
     0.692689  1.65164e-28
     0.694175  1.65525e-28
     0.695665  1.65894e-28
     0.697157  1.66271e-28
     0.698653  1.66654e-28
     0.700152  1.67041e-28
     0.701654  1.67431e-28
     0.703160  1.67827e-28
     0.704669  1.68224e-28
     0.706181  1.68621e-28
     0.707696  1.69018e-28
     0.709214  1.69413e-28
     0.710736  1.69804e-28
     0.712261  1.70194e-28
     0.713789  1.70576e-28
     0.715321  1.70951e-28
     0.716856  1.71321e-28
     0.718394  1.71684e-28
     0.719935  1.72036e-28
     0.721480  1.72376e-28
     0.723028  1.72708e-28
     0.724579  1.73028e-28
     0.726134  1.73334e-28
     0.727692  1.73629e-28
     0.729253  1.73908e-28
     0.730818  1.74174e-28
     0.732386  1.74427e-28
     0.733957  1.74665e-28
     0.735532  1.74887e-28
     0.737110  1.75095e-28
     0.738692  1.75288e-28
     0.740277  1.75465e-28
     0.741865  1.75627e-28
     0.743457  1.75777e-28
     0.745052  1.75912e-28
     0.746650  1.76032e-28
     0.748253  1.76139e-28
     0.749858  1.76233e-28
     0.751467  1.76315e-28
     0.753079  1.76387e-28
     0.754695  1.76450e-28
     0.756314  1.76503e-28
     0.757937  1.76545e-28
     0.759563  1.76581e-28
     0.761193  1.76612e-28
     0.762826  1.76637e-28
     0.764463  1.76658e-28
     0.766103  1.76678e-28
     0.767747  1.76695e-28
     0.769394  1.76716e-28
     0.771045  1.76738e-28
     0.772699  1.76761e-28
     0.774357  1.76791e-28
     0.776019  1.76830e-28
     0.777684  1.76877e-28
     0.779352  1.76934e-28
     0.781025  1.77002e-28
     0.782700  1.77085e-28
     0.784380  1.77182e-28
     0.786063  1.77294e-28
     0.787749  1.77425e-28
     0.789439  1.77575e-28
     0.791133  1.77745e-28
     0.792831  1.77935e-28
     0.794532  1.78146e-28
     0.796237  1.78379e-28
     0.797945  1.78635e-28
     0.799657  1.78913e-28
     0.801373  1.79212e-28
     0.803092  1.79534e-28
     0.804815  1.79879e-28
